"userid","path_type","multi_user_label","single_user","multiple_user","total_events","completed_count","completed_cat","not_completed_count","event_count_cat","device_cat","ipad_event","iphone_event","ipod_event","max_stage_complete","pathways_complete_rank","pathways_reach_rank","pathways_count","alc_count","average_age_int","max_stage","first_week","second_week","third_week","distinct_weeks","distinct_days","avg_weekly_visit","avg_daily_hrs","weekly_visit_cat","max_days_into_trial","avg_days_from_trial","trial_day","max_stage_num","avg_level","avg_cluster","avg_step","pop_event_day","pop_title","pop_category","distinct_titles","title_count_cat","max_row","max_column","avg_row","avg_col","ctp"
1.0119507004187046e+18,"pathways","Single-user",1,0,106,71,"very_high",23,"very high","iPhone",0,106,0,"D",741,741,106,0,5,"D",1,1,1,4,10,21,4,"high",30,7,5,4,4,1,7,"Friday   ","What's That Sound?",,55,"very high",,,,,1
1.0148234888606208e+18,"alc, pathways","Multiple-user",0,1,56,38,"med",17,"high","iPhone",0,56,0,"C",221,231,16,40,4,"C",1,1,0,2,3,28,0,"high",8,3,11,3,1,1,2,"Wednesday","Memory Game: Friends",,29,"high",13,24,2,8,0
1.0173965315734982e+18,"alc","Single-user",1,0,7,1,"low",6,"low","iPhone",0,7,0,,,,0,7,4,,1,0,0,1,1,7,0,"low",0,0,10,,,,,"Tuesday  ","Fins and Fans","FR",7,"low",7,3,4,2,0
1.0236010678509453e+18,"alc, pathways","Single-user",1,0,66,46,"med",16,"high","iPhone",0,66,0,"C",571,571,65,1,4,"C",1,1,0,2,6,22,0,"high",11,2,5,3,3,1,8,"Thursday ","Let's Draw",,46,"very high",3,4,3,4,1
1.0242959118933859e+18,"pathways","Single-user",1,0,4,4,"low",0,"low","iPhone",0,4,0,"E",211,211,4,0,5,"E",1,0,0,1,1,4,0,"low",0,0,3,5,1,1,2,"Tuesday  ","Guide Dogs",,4,"low",,,,,1
1.0269431634207276e+18,"pathways","Single-user",1,0,19,9,"med",8,"medium","iPhone",0,19,0,"A",331,341,19,0,2,"A",1,0,0,1,2,10,0,"medium",4,0,14,1,2,1,3,"Saturday ","Paint Pots: Colors",,7,"low",,,,,1
1.0324842562141082e+18,"alc, pathways","Single-user",1,0,19,11,"med",7,"medium","iPad",19,0,0,"B",221,231,8,11,2,"B",1,1,1,3,5,6,0,"low",21,10,3,2,2,1,2,"Thursday ","She'll Be Comin' Round The Mountain!","DTW",9,"low",3,3,2,0,1
1.0353473872223973e+18,"pathways","Single-user",1,0,42,28,"med",13,"high","iPhone",0,42,0,"D",441,441,42,0,6,"D",1,0,0,1,2,21,0,"high",2,1,8,4,3,1,6,"Sunday   ","Make the Letters: A,a",,26,"high",,,,,1
1.0394102636542682e+18,"pathways","Single-user",1,0,97,79,"very_high",10,"very high","iPad",97,0,0,"C",951,971,97,0,4,"C",1,0,1,2,7,32,2,"high",16,3,13,3,5,1,6,"Friday   ","Let's Draw",,56,"very high",,,,,0
1.046514578337742e+18,"pathways","Single-user",1,0,15,12,"med",2,"medium","iPhone",0,15,0,"D",311,321,15,0,5,"D",1,0,0,1,1,15,0,"medium",0,0,13,4,2,1,3,"Friday   ","Make the Letters: A,a",,11,"med",,,,,1
1.0477897579260645e+18,"pathways","Single-user",1,0,118,103,"very_high",8,"very high","iPad",118,0,0,"C",931,941,118,0,4,"C",1,1,1,4,10,24,3,"high",29,14,3,3,5,1,8,"Saturday ","Let's Draw",,85,"very high",,,,,1
1.0479388802361706e+18,"alc, pathways","Multiple-user",0,1,9,5,"low",3,"low","iPhone",0,9,0,"A",121,211,8,1,3,"A",1,0,0,1,1,9,23,"medium",0,0,3,1,1,1,1,"Tuesday  ","Letter Hunt",,5,"low",1,3,1,3,0
1.048026758470689e+18,"pathways","Single-user",1,0,10,6,"low",2,"low","iPhone",0,10,0,"E",231,251,10,0,6,"E",1,1,0,2,2,5,0,"low",8,7,1,5,2,1,2,"Tuesday  ","More Letters and Sounds",,8,"low",,,,,0
1.0491680061889265e+18,"pathways","Single-user",1,0,1,0,"low",0,"low","iPhone",0,1,0,,,,1,0,5,,1,0,0,1,1,1,0,"low",2,2,6,,1,,1,"Monday   ","New Letters and Sounds",,1,"low",,,,,0
1.0512954891347785e+18,"pathways","Single-user",1,0,1,0,"low",1,"low","iPhone",0,1,0,,,,1,0,2,,1,0,0,1,1,1,0,"low",0,0,3,,1,,1,"Tuesday  ","Letter Hunt",,1,"low",,,,,0
1.0540903256493961e+18,"alc, pathways","Single-user",1,0,11,6,"low",4,"low","iPhone",0,11,0,"B",211,221,9,2,0,"B",1,0,0,1,2,11,0,"medium",1,0,9,2,2,1,1,"Monday   ","Paint Pots: Colors",,4,"low",1,1,1,1,1
1.0637114265921857e+18,"alc, pathways","Single-user",1,0,31,6,"low",24,"medium","iPhone",0,31,0,"D",231,241,15,16,4,"D",1,1,0,2,3,16,0,"medium",13,6,2,4,2,1,3,"Monday   ","Letter Hunt A,a","DTW",20,"med",5,5,2,2,0
1.066998613219864e+18,"pathways","Single-user",1,0,53,43,"med",8,"high","iPad",53,0,0,"B",741,741,53,0,3,"B",1,0,0,2,2,27,1,"high",30,8,7,2,4,1,4,"Saturday ","Let's Draw",,33,"high",,,,,0
1.068110831409052e+18,"pathways","Multiple-user",0,1,17,11,"med",6,"medium","iPad",17,0,0,"D",281,281,17,0,,"D",1,1,0,2,2,9,0,"medium",8,8,4,4,2,1,4,"Friday   ","Animal Giants",,11,"med",,,,,0
1.0689105326121628e+18,"alc, pathways","Single-user",1,0,27,20,"med",6,"medium","iPhone",0,27,0,"D",331,351,17,10,5,"D",1,1,0,2,3,14,0,"medium",13,5,7,4,2,1,4,"Saturday ","Make the Letters: A,a",,20,"med",2,21,2,5,1
1.0764404770385208e+18,"pathways","Multiple-user",0,1,6,5,"low",0,"low","iPad",6,0,0,"C",221,231,6,0,5,"C",1,0,0,1,1,6,0,"low",0,0,14,3,2,1,2,"Saturday ","Same or Different",,6,"low",,,,,1
1.0769808520090706e+18,"alc","Single-user",1,0,72,69,"very_high",3,"high","iPad",72,0,0,,,,0,72,5,,0,1,1,3,9,18,2,"high",31,15,14,,,,,"Tuesday  ","Bug Adventure","GAM",34,"high",3,23,1,10,1
1.0776382280672707e+18,"pathways","Single-user",1,0,23,12,"med",6,"medium","iPad",23,0,0,"A",261,321,23,0,2,"A",1,1,1,3,4,8,0,"low",20,8,7,1,2,1,3,"Wednesday","Let's Draw",,5,"low",,,,,1
1.0784518488350977e+18,"pathways","Single-user",1,0,8,7,"low",0,"low","iPhone",0,8,0,"C",241,251,8,0,3,"C",1,0,0,1,1,8,0,"low",0,0,4,3,2,1,3,"Wednesday","Meet the Letter A",,8,"low",,,,,1
